,Utterance,Cluster,Cluster Name
47,επιθυμώ καταχωρήσω αίτηση,7,αίτηση
48,πού μπορώ αγοράζω κάποιος πρόγραμμα μηνυμάτων,9,πρόγραμμα
49,αναφορικά λογαριασμός μου,3,ανάλυση λογαριασμού
50,θέλω βάλω χρόνος ομιλία κινητό,0,αγορά χρόνου ομιλίας
51,ένας ανανέωση,16,ανανέωση
52,διακανονισμός ποσό χρωστάω,10,χρέος
53,ερώτηση υπόλοιπος,1,ενημέρωση υπολοίπου
54,έχω ανάγκη από βοήθεια,18,υπηρεσία
55,μάθω έχω σχετικά απόκρυψη,1,ενημέρωση υπολοίπου
56,ενημερωθώ υπόλοιπος μου,1,ενημέρωση υπολοίπου
57,έχω επικοινωνώ ένας ραντεβού,5,ραντεβού
58,μάθω βιντεοκλήση,13,βιντεοκλήση
59,ενδιέφερε αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
60,αναλυτικός κατάσταση λογαριασμός,3,ανάλυση λογαριασμού
61,χρειάζομαι ενημέρωση,1,ενημέρωση υπολοίπου
62,θέλω μιλήσω πωλήσεις,12,τμήμα πωλήσεων
63,θέλω αγοράζω χρόνος ομιλία προς όλος,0,αγορά χρόνου ομιλίας
64,θέλω κάνω αίτηση,7,αίτηση
65,δηλώνω κινητό μου ως απόρρητος,2,λογαριασμός κινητού
66,αλλαγή ραντεβού σύνδεση νέος γραμμή,5,ραντεβού
67,επιθυμώ καταχωρήσω αίτημα,7,αίτηση
68,θέλω μάθω αποπληρωμή λογαριασμός,3,ανάλυση λογαριασμού
69,κάτι έκανο hotspot τώρα δουλεύω,17,hotspot
70,κάνω δήλωση κινητός μου ως απόρρητος,2,λογαριασμός κινητού
71,θέλω δω πλήρης ανάλυση τηλεφώνου μου,15,ανάλυση κλήσεων
72,ενδιαφέρομαι αγοράζω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
73,πάσο μου έχω λήσσω μπορώ βάλω φοιτητικός,11,φοιτητικό πακέτο
74,hotspot,17,hotspot
75,μπορούζω παρακαλώ συνδέσετε τμήμα πωλήσεων,12,τμήμα πωλήσεων
76,ενδιαφέρομαι εγώ ενεργοποιήσω,14,διακανονισμός οφειλής
77,επιθυμώ υποβάλω αίτημα,7,αίτηση
78,υπάρχω δυνατότητα έχω αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
79,βοήθεια,18,υπηρεσία
80,θέλω γίνομαι αποπληρωμή λογαριασμός σταθερού μου,3,ανάλυση λογαριασμού
81,ανανέωση,16,ανανέωση
82,πόσα μου χρωστάω τέλος πάντων,10,χρέος
83,πώς μπορώ κάνω αίτηση,7,αίτηση
84,θέλω βλέπω αναλυτικός λίστα κλήσεων,15,ανάλυση κλήσεων
85,θέλω δω πλήρης ανάλυση τηλεφώνου μου,15,ανάλυση κλήσεων
86,θέλω αγοράζω χρόνος ομιλία προς σταθερός,0,αγορά χρόνου ομιλίας
87,θέλω κάνω κινητό μου hotspot,17,hotspot
88,απενεργοποιήσω,19,απενεργοποίηση
89,θέλω απενεργοποίηση,19,απενεργοποίηση
90,θέλω βοήθεια λογαριασμός μου,3,ανάλυση λογαριασμού
91,έχω κάνω διακανονισμός ακόμα εγώ δείχνω ότι χρωστάω,10,χρέος
92,λογαριασμός μου,3,ανάλυση λογαριασμού
93,μπορώ καλέσουν από τμήμα πωλήσεων ανανέωση,12,τμήμα πωλήσεων
94,είμαι πλεονέκτημα έχω βάλω φοιτητικός πακέτο,11,φοιτητικό πακέτο
95,κάνω αποπληρωμή ο οφειλή κινητού μου,2,λογαριασμός κινητού
96,φοιτητικός πακέτο,11,φοιτητικό πακέτο
97,παράπονο,6,παράπονο
98,θέλω αγοράζω λεπτό ομιλία προς όλος,0,αγορά χρόνου ομιλίας
99,πού είμαι αυτός ανάλυση λογαριασμός μου,3,ανάλυση λογαριασμού
100,θέλω γίνομαι εξόφληση ο οφειλή σταθερού μου,14,διακανονισμός οφειλής
101,μου πείτε έχω επιδότηση,10,χρέος
102,θέλω δω πότε πρέπει πληρώνω δόση διακανονισμός μου,10,χρέος
103,έχω ένας ραντεβού σήμερα,5,ραντεβού
104,επιθυμώ βάλω χρόνος ομιλία κάρτα,0,αγορά χρόνου ομιλίας
105,κάνω ανανέωση θέλω,16,ανανέωση
106,θέλω κάνω διακανονισμός λογαριασμός έχω λήξει,3,ανάλυση λογαριασμού
107,μου κάνω απενεργοποίηση,19,απενεργοποίηση
108,πώς μπορώ κάνω διακανονισμός ο γραμμή μου,18,υπηρεσία
109,αγορά πρόγραμμα μηνύματα,9,πρόγραμμα
110,θέλω πληροφορήσετε πώς μπορώ γίνομαι αίτηση,7,αίτηση
111,μόλις έβγαλα πάσο πρέπει κάνω έχω φοιτητικός πακέτο,11,φοιτητικό πακέτο
112,ένας πληροφορία θέλω,1,ενημέρωση υπολοίπου
113,θέλω εξοφλήσω λογαριασμός μου,3,ανάλυση λογαριασμού
114,πώς ενεργοποιήσω hotspot κινητό μου,17,hotspot
115,θέλω κάνω διακανονισμός τηλέφωνό μου,2,λογαριασμός κινητού
116,πώς μπορώ εντοπίζω οφειλός μου,10,χρέος
117,ενδιαφέρομαι απενεργοποίηση,19,απενεργοποίηση
118,θέλω εξοφλήσω σταθερός μου,14,διακανονισμός οφειλής
119,βρήκα αναπάντητος κινητό μου από εσάς,2,λογαριασμός κινητού
120,πόσο χρωστάω συνολικά,10,χρέος
121,πόση επιδότηση έχω,10,χρέος
122,πόσος χρωστάω τελικά,10,χρέος
123,θέλω κάνω κινητό μου tethering,2,λογαριασμός κινητού
124,θέλω κάνω εξόφληση λογαριασμός τηλέφωνος μου,2,λογαριασμός κινητού
125,θέλω γίνομαι εξόφληση παραστατικός κινητός μου,2,λογαριασμός κινητού
126,θέλω κάνω εξόφληση ο οφειλή ο τηλεόραση,13,βιντεοκλήση
127,είμαι ποσό οφειλών μου,10,χρέος
128,λογαριασμός έχω εσάς,3,ανάλυση λογαριασμού
129,διακανονισμός οικονομικός εκκρεμότητα,14,διακανονισμός οφειλής
130,είμαι ποσό χρεών μου,10,χρέος
131,ποιος είμαι οφειλός μου,10,χρέος
132,γιατί δουλεύω hotspot,17,hotspot
133,πού υπάρχω αναλυτικά κλήσεις μου,2,λογαριασμός κινητού
134,θέλω δω ανάλυση κλήσεων,15,ανάλυση κλήσεων
135,αποπληρώσως οφειλή μου,10,χρέος
136,εξοφλήσω οφειλή μου,10,χρέος
137,λογαριασμός τηλεφώνου,2,λογαριασμός κινητού
138,πώς ανοίγει tethering,8,tethering
139,πώς κάνω tethering,8,tethering
140,εκφράζω παράπονά μου,6,παράπονο
141,θέλω κάνω αίτηση,7,αίτηση
142,εξετάζω ο δυνατότητα αγοράζω ένας νέος tablet,4,tablet
143,ρωτώ κάτι,14,διακανονισμός οφειλής
144,ενδιαφέρω υπηρεσία αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
145,λογαριασμός,3,ανάλυση λογαριασμού
146,κάνω εξόφληση ο οφειλή σταθερού μου,14,διακανονισμός οφειλής
147,πώς μπορώ βάλω φοιτητικός,11,φοιτητικό πακέτο
148,πού είμαι ανάλυση λογαριασμός μου,3,ανάλυση λογαριασμού
149,θέλω αγοράζω έξτρο λεπτό ομιλία,0,αγορά χρόνου ομιλίας
150,αγοράζω πρόγραμμα mb,9,πρόγραμμα
151,μπορώ συνδέσω παρακαλώ πωλήσεις,12,τμήμα πωλήσεων
152,πόση οφειλή έχω,10,χρέος
153,θέλω μάθω υπόλοιπος,1,ενημέρωση υπολοίπου
154,θέλω αλλάξω ένας ραντεβού,5,ραντεβού
155,επιθυμώ ενεργοποιήσω κάποιος πρόγραμμα mb,9,πρόγραμμα
156,αίτημα ραντεβού,5,ραντεβού
157,επιθυμώ ανανέωση,16,ανανέωση
158,επιθυμώ ενεργοποιήσω,14,διακανονισμός οφειλής
159,θέλω αποκτήσω επιπλέον χρόνος μιλάως ο δικός μου,0,αγορά χρόνου ομιλίας
160,θέλω ρωτώ ένας διακανονισμός έχω κάνω,14,διακανονισμός οφειλής
161,θέλω καταχωρήσω αίτημα,7,αίτηση
162,αλλαγή ραντεβού,5,ραντεβού
163,ενεργοποίηση πρόγραμμα δεδομένας,9,πρόγραμμα
164,γίνομαι απόρρητος σταθερό μου,14,διακανονισμός οφειλής
165,σχετικά λογαριασμός μου,3,ανάλυση λογαριασμού
166,ανανέωση λεπτών ομιλία γιατί εγώ τελείωσαν,0,αγορά χρόνου ομιλίας
167,θέλω εγώ βάλετε λεπτό μιλάω,0,αγορά χρόνου ομιλίας
168,θέλω βάλω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
169,θέλω γίνομαι εξόφληση λογαριασμός κινητό μου,2,λογαριασμός κινητού
170,ενεργοποιήσω,14,διακανονισμός οφειλής
171,χρόνος ομιλία,0,αγορά χρόνου ομιλίας
172,πώς μπορώ ανοίξω αναλυτικός μου λογαριασμός,3,ανάλυση λογαριασμού
173,πρέπει συνδεθώ τμήμα πωλήσεων,12,τμήμα πωλήσεων
174,μου εμφανίζω φοιτητικός πακέτα,11,φοιτητικό πακέτο
175,επιθυμώ αγοράζω λεπτό ομιλία,0,αγορά χρόνου ομιλίας
176,ποιος είμαι διαθέσιμος υπηρεσία,18,υπηρεσία
177,επιθυμώ υπηρεσία ο βιντεοκλήση,13,βιντεοκλήση
178,πώς μπορώ δω ανάλυση ολόκληρος ο κίνηση έκανα,15,ανάλυση κλήσεων
179,θέλω κάνω διακανονισμός λογαριασμός είμαι ληξιπρόθεσμος,3,ανάλυση λογαριασμού
180,έχω κανονίσει ραντεβού νέος σύνδεση,5,ραντεβού
181,μου εμφανίζεται αυτός επιλογή διακανονισμός,14,διακανονισμός οφειλής
182,πρέπει μιλώ τμήμα πωλήσεων,12,τμήμα πωλήσεων
183,θέλω κάνω αποπληρωμή ο οφειλή,14,διακανονισμός οφειλής
184,θέλω παραπονεθώ,6,παράπονο
185,θέλω μάθω οφειλή μου,14,διακανονισμός οφειλής
186,θέλω προσθέσω χρόνος ομιλία κινητό,0,αγορά χρόνου ομιλίας
187,χρειάζομαι πλήρης ανάλυση κλήσεων,15,ανάλυση κλήσεων
188,θέλω ενημέρωση απόκρυψη κλήσεων,15,ανάλυση κλήσεων
189,πληροφορηθώ υπόλοιπος μου,1,ενημέρωση υπολοίπου
190,πώς κάνω hotspot ο συσκευή μου,17,hotspot
191,ανάλυση κλήσεων υπάρχω όλος αριθμός τηλεφώνησα,15,ανάλυση κλήσεων
192,θέλω αγοράζω έξτρο χρόνος ομιλία,0,αγορά χρόνου ομιλίας
193,ανάλυση εξερχομένων,14,διακανονισμός οφειλής
194,θέλω δω αναλυτικός κίνηση σταθερού μου,14,διακανονισμός οφειλής
195,κάτι πάει καλά tethering,8,tethering
196,κάνω πληρωμή ο οφειλή,10,χρέος
197,πού μπορώ δω υπηρεσία,18,υπηρεσία
198,τo παραστατικός συμβολαίου μου,14,διακανονισμός οφειλής
199,από πού κλείνω hotspot,17,hotspot
200,σταθερός τηλέφωνος απόρρητο,2,λογαριασμός κινητού
201,θέλω μάθω ο χρέωση,10,χρέος
202,θέλω δω πλήρης ανάλυση κλήσεων,15,ανάλυση κλήσεων
203,λεπτό ομιλία,0,αγορά χρόνου ομιλίας
204,επιθυμώ μάθω χρωστάω,14,διακανονισμός οφειλής
205,θέλω δω μερικός ανάλυση κλήσεων,15,ανάλυση κλήσεων
206,επιθυμώ αγοράζω κάποιος πρόγραμμα mb,9,πρόγραμμα
207,θέλω πληροφορήσετε πώς μπορώ γίνομαι αίτηση,7,αίτηση
208,θέλω κάνω εξόφληση ο οφειλή,14,διακανονισμός οφειλής
209,από πού ενημερώνομαι υπόλοιπος,1,ενημέρωση υπολοίπου
210,θέλω υπηρεσία αριθμός μου,18,υπηρεσία
211,πού βλέπω επιδότηση μου,10,χρέος
212,θέλω εγώ βάλετε χρόνος ομιλία,0,αγορά χρόνου ομιλίας
213,θέλω αγοράζω χρόνος ομιλία κινητό μου,0,αγορά χρόνου ομιλίας
214,θέλω υπηρεσία κινητό μου,2,λογαριασμός κινητού
215,θέλω κάνω διακανονισμός λογαριασμός μου,3,ανάλυση λογαριασμού
216,πώς κάνω κινητό μου hotspot,17,hotspot
217,έχω μένω ένας υπόλοιπος οποίος θέλω διακανονίσω,1,ενημέρωση υπολοίπου
218,ξέρω από πού ανοίγω hotspot,17,hotspot
219,πώς μπορώ κάνω διακανονισμός οικονομικός εκκρεμότητα,3,ανάλυση λογαριασμού
220,επιθυμώ αγοράζω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
221,χρειάζομαι βοήθεια tethering,8,tethering
222,αλλάξω ραντεβού νέος σύνδεση,5,ραντεβού
223,επικοινωνία τμήμα πωλήσεων,12,τμήμα πωλήσεων
224,ραντεβού εγκατάσταση,5,ραντεβού
225,ενδιαφέρομαι απενεργοποιώ,19,απενεργοποίηση
226,θέλω κάνω αποπληρωμή ο οφειλή τηλεφώνου μου,2,λογαριασμός κινητού
227,θέλω συμπληρώσω φόρμα παραπόνων,14,διακανονισμός οφειλής
228,αγοράζω tablet,4,tablet
229,μπορώ προχωρήσω διακανονισμός κινητός μου,2,λογαριασμός κινητού
230,τιμοκατάλογος tablet,4,tablet
231,tethering δουλεύω σωστά,8,tethering
232,θέλω αγοράζω λεπτό ομιλία,0,αγορά χρόνου ομιλίας
233,ανάλυση κλήσεων κρυμμένος νούμερα,9,πρόγραμμα
234,παρακαλώ βοηθήστε,18,υπηρεσία
235,ενδιαφέρομαι ενεργοποιήσω,14,διακανονισμός οφειλής
236,πόσος χρήμα οφείλω συνολικά,10,χρέος
237,ενημερωθώ ένας ραντεβού,5,ραντεβού
238,μου επιτρέπω μπω εξοφλώ λογαριασμός μου,3,ανάλυση λογαριασμού
239,όνομα έχω δικός μου tethering βρίσκω,14,διακανονισμός οφειλής
240,θέλω ενεργοποιήσω πρόγραμμα μηνυμάτων,9,πρόγραμμα
241,τo παραστατικός ο τηλεόραση μου,13,βιντεοκλήση
242,θέλω δω μερικός ανάλυση κλήσεων,15,ανάλυση κλήσεων
243,γίνομαι απενεργοποίηση,19,απενεργοποίηση
244,ενημέρωση επιδότηση,10,χρέος
245,θέλω διευκρινήσεις σχετικά διακανονισμός,1,ενημέρωση υπολοίπου
246,πώς μπορώ υποβάλω αίτημα,7,αίτηση
247,υπάρχω τρόπος βλέπω αναλυτικά κλήσεις γίνομαι από κινητα μου,15,ανάλυση κλήσεων
248,πουλάτε tablet,4,tablet
249,απενεργοποίηση,19,απενεργοποίηση
250,θέλω συνδεθώ τμήμα λογαριασμός,3,ανάλυση λογαριασμού
251,θέλω κάνω διακανονισμός τηλεόραση γιατί μπορώ πληρώσω λογαριασμός,13,βιντεοκλήση
252,πληροφορία αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
253,ένας ερώτηση κάνω,14,διακανονισμός οφειλής
254,κινητό τηλέφωνος απόρρητο,2,λογαριασμός κινητού
255,επιθυμώ δω ο μερικός ανάλυση κλήσεων,15,ανάλυση κλήσεων
256,επιθυμώ νέος tablet,4,tablet
257,επιθυμώ ενημερωθώ ποσό χρωστάω,10,χρέος
258,θέλω βάλω λεπτό ομιλία,0,αγορά χρόνου ομιλίας
259,θέλω εγώ βάλετε λεπτό ομιλία,0,αγορά χρόνου ομιλίας
260,θέλω δω αναλυτικά κίνηση μου,14,διακανονισμός οφειλής
261,πώς μπορώ ενεργοποιήσω πρόγραμμα mb,9,πρόγραμμα
262,αγορά πρόγραμμα χρόνος ομιλία,0,αγορά χρόνου ομιλίας
263,θέλω καταθέσω αίτηση,7,αίτηση
264,πείτε μου σχετικός βιντεοκλήσεις,13,βιντεοκλήση
265,υπηρεσία απόκρυψη κλήσεων,15,ανάλυση κλήσεων
266,θέλω κάνω εξόφληση παραστατικός,14,διακανονισμός οφειλής
267,κάνω εξόφληση λογαριασμός κινητό μου,2,λογαριασμός κινητού
268,θέλω προγραμματίσω εκ νέος ένας ραντεβού,5,ραντεβού
269,λογαριασμός κινητός τηλεφωνία,2,λογαριασμός κινητού
270,πείτε μου αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
271,θέλω μάθω αναλυτικός κίνηση τηλεφώνου μου,2,λογαριασμός κινητού
272,θέλω αποπληρώσως κινητό μου,2,λογαριασμός κινητού
273,επικοινωνήσω τμήμα πωλήσεων,12,τμήμα πωλήσεων
274,θέλω ένας πλήρης ανάλυση κλήσεις,15,ανάλυση κλήσεων
275,υπάρχω κάποιος πωλητής συνομιλήσω,12,τμήμα πωλήσεων
276,θέλω λαμβάνω πληροφορία σχετικά ανάλυση κλήσεων κινητό μου,15,ανάλυση κλήσεων
277,θέλω κάνω πληρωμή ο οφειλή,10,χρέος
278,θέλω διατυπώσω ένας παράπονο,6,παράπονο
279,θέλω κάνω εξόφληση ο οφειλή τηλεφώνου μου,2,λογαριασμός κινητού
280,πώς κάνω κινητό μου λειτουργώ ως hotspot,17,hotspot
281,καταχωρήστε μου ένας αίτημα,7,αίτηση
282,θέλω βιντεοκλήση κινητό,13,βιντεοκλήση
283,έχω κλείνω λογαριασμός σταθερού τηλεφώνου αλλά έχω απλήρωτος τελευταίος δίμηνος,2,λογαριασμός κινητού
284,χρωστάω κινητό μου,2,λογαριασμός κινητού
285,πώς μπορώ βλέπω αναλυτικός λογαριασμός,3,ανάλυση λογαριασμού
286,θέλω κάνω διακανονισμός όλο ποσό,14,διακανονισμός οφειλής
287,έχω ανάγκη από ενημέρωση,1,ενημέρωση υπολοίπου
288,χρειάζω πληροφορία,1,ενημέρωση υπολοίπου
289,υπηρεσία,18,υπηρεσία
290,δηλώσω απόρρητος σταθερό μου,14,διακανονισμός οφειλής
291,είχα ένας κλήση κινητό μου από εσάς μου κάλεσα,2,λογαριασμός κινητού
292,βρίσκω χρωστάω,10,χρέος
293,πρέπει γνωρίζω απόκρυψη κλήσεων,15,ανάλυση κλήσεων
294,θέλω εγώ ενεργοποιήσω,14,διακανονισμός οφειλής
295,ενημερωθώ υπόλοιπά μου,1,ενημέρωση υπολοίπου
296,είμαι ποσό οφείλω,10,χρέος
297,ενεργοποιηθεί,14,διακανονισμός οφειλής
298,hotspot δουλεύω σωστά,17,hotspot
299,εξοφλήσω λογαριασμός μου,3,ανάλυση λογαριασμού
300,θέλω διακανονίζω οφειλή μου,14,διακανονισμός οφειλής
301,επιθυμώ ενεργοποίηση,14,διακανονισμός οφειλής
302,ενεργοποίηση tethering,8,tethering
303,αποπληρώσως σταθερός μου,14,διακανονισμός οφειλής
304,θέλω αγοράζω λεπτό ομιλία προς κινητάς,0,αγορά χρόνου ομιλίας
305,μπορώ προχωρήσω διακανονισμός τηλεφώνου μου,2,λογαριασμός κινητού
306,γιατί δουλεύω tethering,8,tethering
307,ενημερωθώ σχετικά υπόλοιπος μου,1,ενημέρωση υπολοίπου
308,ποιον τρόπος μπορώ πραγματοποιήσω αίτηση,7,αίτηση
309,κάνω εξόφληση ο οφειλή,14,διακανονισμός οφειλής
310,μάθω ενεργοποίηση,14,διακανονισμός οφειλής
311,πώς μπορώ ενημερωθώ οφειλή μου,10,χρέος
312,θέλω προχωρήσω διακανονισμός,14,διακανονισμός οφειλής
313,διακανονισμός παλιάς οφειλή,14,διακανονισμός οφειλής
314,χρειάζομαι βοήθεια,18,υπηρεσία
315,μπορούσας έχω πρόσβαση ανάλυση λογαριασμός κινητός,2,λογαριασμός κινητού
316,θέλω υπηρεσία ο γραμμή μου,18,υπηρεσία
317,κάτι έκανα tethering τώρα δουλεύω,8,tethering
318,επιθυμώ προσθέσω λεπτά ομιλία,0,αγορά χρόνου ομιλίας
319,συνδέετε τμήμα πωλήσεων,12,τμήμα πωλήσεων
320,απόρρητος τηλέφωνος,2,λογαριασμός κινητού
321,θέλω εγώ δείξω αναλυτικός κίνηση τηλεφώνου μου,2,λογαριασμός κινητού
322,θέλω επικοινωνήσω τμήμα διακανονισμός λογαριασμός,3,ανάλυση λογαριασμού
323,θέλω ενημερωθώ αναλυτικός λογαριασμός σταθερός,3,ανάλυση λογαριασμού
324,θέλω υποβάλω αίτηση,7,αίτηση
325,θέλω μάθω χρέος μου,10,χρέος
326,είμαι συνολικός ποσό οφειλών μου,10,χρέος
327,θέλω κάνω διακανονισμός λογαριασμός μου,3,ανάλυση λογαριασμού
328,είμαι αυτός ανάλυση λογαριασμός μου,3,ανάλυση λογαριασμού
329,συνδέστε τμήμα πωλήσεων,12,τμήμα πωλήσεων
330,πώς μπορώ μάθω πληροφορία υπηρεσία,18,υπηρεσία
331,χρειάζομαι ο βοήθειά μου,18,υπηρεσία
332,υποβολή παραπόνου,14,διακανονισμός οφειλής
333,επιθυμώ πληροφορήσετε πώς μπορώ γίνομαι αίτηση,7,αίτηση
334,καλημέρα καλώ σχετικά ένας ραντεβού,5,ραντεβού
335,πόσος χρήμα οφείλω,10,χρέος
336,θέλω προσθέσω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
337,αποπληρώσως λογαριασμός μου,3,ανάλυση λογαριασμού
338,θέλω βοήθεια,18,υπηρεσία
339,έχω βιντεοκλήση,13,βιντεοκλήση
340,επιθυμώ ανακαλύψω χρέος μου,10,χρέος
341,ακύρωση ραντεβού,5,ραντεβού
342,θέλω διακανονισμός,14,διακανονισμός οφειλής
343,κάνω ενεργοποίηση,14,διακανονισμός οφειλής
344,θέλω μου δώσετε κάποιος πληροφορία,1,ενημέρωση υπολοίπου
345,κλήσεις απόκρυψη,15,ανάλυση κλήσεων
346,νέο tablet,4,tablet
347,θέλω μου πείτε πότε πρέπει πληρώνω δόση διακανονισμός μου,10,χρέος
348,ενεργοποίηση ο βιντεοκλήση,13,βιντεοκλήση
349,θέλω ανανέωση,16,ανανέωση
350,καταγραφή παραπόνου,14,διακανονισμός οφειλής
351,αποπληρώσω τηλέφωνό μου,2,λογαριασμός κινητού
352,πώς μπορώ δω ανάλυση όλος κλήσεων μηνυμάτο,15,ανάλυση κλήσεων
353,πού βλέπω υπόλοιπος,1,ενημέρωση υπολοίπου
354,θέλω ακυρώσω ραντεβού έχω,5,ραντεβού
355,λογαριασμός κινητός,2,λογαριασμός κινητού
356,ενεργοποίηση πρόγραμμα μηνύματα,9,πρόγραμμα
357,θέλω ενημερωθώς απόκρυψη,1,ενημέρωση υπολοίπου
358,ποιον τρόπος κάνω αίτηση,7,αίτηση
359,λογαριασμός σταθερής internet,3,ανάλυση λογαριασμού
360,ποιον τρόπος μπορώ καταχωρήσω αίτημα,7,αίτηση
361,χρόνος ομιλία,0,αγορά χρόνου ομιλίας
362,είμαι χρέος μου,10,χρέος
363,ανάλυση κλήσεων,9,πρόγραμμα
364,πού μπω κάνω αίτημα διακανονισμός κινητός,2,λογαριασμός κινητού
365,ψάχνω βρως χρωστάω,10,χρέος
366,ενεργοποίηση πρόγραμμα χρόνος ομιλία,0,αγορά χρόνου ομιλίας
367,ενδιαφέρομαι ο λεπτομερής ανάλυση λογαριασμός,3,ανάλυση λογαριασμού
368,πόσος χρήμα οφείλω τελικά,10,χρέος
369,θέλω γίνομαι αποπληρωμή λογαριασμός τηλεφώνος μου,2,λογαριασμός κινητού
370,θέλω κάνω αποπληρωμή ο οφειλή σταθερού μου,14,διακανονισμός οφειλής
371,θέλω μάθω είμαι σύνολο οφειλώνς μου,10,χρέος
372,μου δείχνω αυτός επιλογή διακανονισμός,14,διακανονισμός οφειλής
373,θέλω κάνω ένας παράπονο,6,παράπονο
374,αλλαγή ραντεβού ενεργοποίηση,5,ραντεβού
375,χρειάζομαι βοήθεια hotspot,17,hotspot
376,λογαριασμός σταθερού,3,ανάλυση λογαριασμού
377,έχω επιλογή διακανονισμός,14,διακανονισμός οφειλής
378,θέλω υπηρεσία ο σύνδεση μου,18,υπηρεσία
379,ανάλυση κλήσεων λογαριασμός μου,3,ανάλυση λογαριασμού
380,θέλω χρόνος ομιλία,0,αγορά χρόνου ομιλίας
381,θέλω κάνω εξόφληση λογαριασμός κινητό μου,2,λογαριασμός κινητού
382,πώς μπορώ κάνω αίτημα,7,αίτηση
383,ανάλυση λογαριασμός,3,ανάλυση λογαριασμού
384,ζητώ απενεργοποιώ,19,απενεργοποίηση
385,κάνω πληρωμή λογαριασμός κινητό μου,2,λογαριασμός κινητού
386,χρειάζομαι ενημερωθώ σχετικά τρόπος υποβολή αίτηση,7,αίτηση
387,ρωτώ ενεργοποίηση,14,διακανονισμός οφειλής
388,μπορώ προχωρήσω διακανονισμός ο σύνδεση μου,14,διακανονισμός οφειλής
389,τo παραστατικός ο σύνδεση μου,14,διακανονισμός οφειλής
